framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time(ms),proofSize,count,ramReal
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_100.json,prove,101,1,2,29717768,4,576,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_100.json,verify,101,1,2,29455624,5,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_1000.json,setup,1001,1,2,37582088,229,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_1000.json,compile,1001,1,2,21591304,1,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_1000.json,witness,1001,1,2,14644488,1,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_1000.json,prove,1001,1,2,37582088,10,576,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_1000.json,verify,1001,1,2,37909768,5,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_10000.json,setup,10001,1,2,75592968,1357,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_10000.json,compile,10001,1,2,24212744,11,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_10000.json,witness,10001,1,2,20804872,1,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_10000.json,prove,10001,1,2,80311560,46,576,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_10000.json,verify,10001,1,2,67466504,5,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_100000.json,setup,100001,1,2,396603736,10070,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_100000.json,compile,100001,1,2,69498120,129,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_100000.json,witness,100001,1,2,52065544,1,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_100000.json,prove,100001,1,2,405188952,401,576,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_100000.json,verify,100001,1,2,282892600,5,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_1000000.json,setup,1000001,1,2,2768627592,94005,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_1000000.json,compile,1000001,1,2,452787560,1336,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_1000000.json,witness,1000001,1,2,344859976,1,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_1000000.json,prove,1000001,1,2,3418838040,2253,576,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_1000000.json,verify,1000001,1,2,2429787944,5,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_10000000.json,setup,10000001,1,2,31476506024,1022175,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_10000000.json,compile,10000001,1,2,4244211432,12796,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_10000000.json,witness,10000001,1,2,3076068328,1,0,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_10000000.json,prove,10000001,1,2,36264710568,33146,576,10,
gnark,circuit,groth16,bls12_381,exponentiate,input/circuit/exponentiate/input_10000000.json,verify,10000001,1,2,22695053720,5,0,10,
