framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time(ms),proofSize,count,ramReal
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_9.json,prove,395547,512,33,1096649208,802,384,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_9.json,verify,395547,512,33,1002012136,3,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_10.json,setup,744475,1024,33,2541572952,47784,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_10.json,compile,744475,1024,33,764839336,5548,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_10.json,witness,744475,1024,33,566811000,1,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_10.json,prove,744475,1024,33,2317689624,2434,576,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_10.json,verify,744475,1024,33,2442704680,5,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_11.json,setup,1442331,2048,33,4306097384,93000,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_11.json,compile,1442331,2048,33,1576460904,10611,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_11.json,witness,1442331,2048,33,1118277112,1,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_11.json,prove,1442331,2048,33,4546693400,4656,576,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_11.json,verify,1442331,2048,33,4469685512,5,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_12.json,setup,2838043,4096,33,10116878152,183466,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_12.json,compile,2838043,4096,33,3065201880,21061,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_12.json,witness,2838043,4096,33,2295247896,2,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_12.json,prove,2838043,4096,33,9487433352,9123,576,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_12.json,verify,2838043,4096,33,8213809496,5,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_13.json,setup,5629467,8192,33,15472511096,364045,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_13.json,compile,5629467,8192,33,6026650824,41948,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_13.json,witness,5629467,8192,33,4044206632,5,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_13.json,prove,5629467,8192,33,20347963592,18113,576,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_13.json,verify,5629467,8192,33,15542438008,5,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_14.json,setup,11212315,16384,33,29592465256,724805,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_14.json,compile,11212315,16384,33,11701792488,83668,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_14.json,witness,11212315,16384,33,8505055224,10,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_14.json,prove,11212315,16384,33,31898112296,35853,576,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_14.json,verify,11212315,16384,33,26127149112,5,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_15.json,setup,22378011,32768,33,59420728656,1447014,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_15.json,compile,22378011,32768,33,21733667632,168185,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_15.json,witness,22378011,32768,33,16536278608,19,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_15.json,prove,22378011,32768,33,54503600368,72000,576,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_15.json,verify,22378011,32768,33,51134749120,5,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,174624040,3287,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,70284552,338,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,56063240,1,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,208112936,195,576,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,162368808,5,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,282368312,6258,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,111116568,683,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_6.json,witness,90235,64,33,96960792,1,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_6.json,prove,90235,64,33,351970632,358,576,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_6.json,verify,90235,64,33,290494776,5,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_7.json,setup,133851,128,33,522209656,9994,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_7.json,compile,133851,128,33,164367656,1026,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_7.json,witness,133851,128,33,139329816,1,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_7.json,prove,133851,128,33,754871720,651,576,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_7.json,verify,133851,128,33,583357832,5,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_8.json,setup,221083,256,33,684731816,13847,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_8.json,compile,221083,256,33,272816440,1701,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_8.json,witness,221083,256,33,197119272,1,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_8.json,prove,221083,256,33,869680584,706,576,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_8.json,verify,221083,256,33,804338104,5,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_9.json,setup,395547,512,33,1091996152,25156,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_9.json,compile,395547,512,33,404558168,2970,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_9.json,witness,395547,512,33,308675912,1,0,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_9.json,prove,395547,512,33,1686632072,1290,576,10,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_9.json,verify,395547,512,33,1087146488,5,0,10,
